Devices,Date,Esn,Part Of Netflix Household
Fire TV Stick 2014,2023-08-27 00:00:00,AMZNST2014-00036-00104982,No
Fire TV Stick 2020 +,2023-08-28 00:00:00,NFANDROID2-PRV-FIRETVSTICKPLUS2020-AMAZOAFTSSS-17706-14B5E7333B4063DDF1BEB9CFB1CDC4C769C0F5E028A4DB8D00A0DC84E6788D64,Yes
iPad 10.2 9th Gen Wi-Fi,2023-08-19 00:00:00,NFAPPL-01-IPAD12=1-9F9A04E9BE4CAEEE30AE0C870C6BD33D43E6FB0ADA5C9790452D861A1AEDA656,Yes
iPad 10.2 7th Gen Wi-Fi,2023-08-26 00:00:00,NFAPPL-01-IPAD7=11-DFA9936C743B3AB3EE31969F9B578344D4A265B1DE00BF8F84747DB61659B7D5,Yes
iPhone 7 (CDMA),2023-08-28 00:00:00,NFAPPL-02-IPHONE9=1-7EAF89462D2B37AC32DAB60E726AF723C8FFA64A53DCAD0487200FCB2BC70C07,Yes
iPhone 7 (CDMA),2023-08-15 00:00:00,NFAPPL-02-IPHONE9=1-D13373DA500CA76C6AF253049EBDA37C9D0272C95F6EE7021C1BFB1FF8E54911,Yes
iPhone 7 (CDMA),2023-08-28 00:00:00,NFAPPL-02-IPHONE9=1-PXA-0202QDOH2PODP1NCUS63CO1N3GCGJ6KNUOSB71I2PM7K8JT560CA7DD6ADUKCDRECIBQGU6TPIS4DAGI40ILBV614VB9P87AFK565477,Yes
Chrome PC (Cadmium),2023-08-21 00:00:00,NFCDCH-02-KF7GTDQ05FAWJQH0C7L73WWDWR7HXL,Yes
iPhone-Safari,2023-08-17 00:00:00,NFCDSF-PH-KEVWZW6M6TV1UH2K4LUAWNKEUA9H2T,Yes
iPhone-Safari,2023-08-26 00:00:00,NFCDSF-PH-KFMYFUW2VWF6N4L9WCJ32RMW2QGCMK,No
iPhone-Safari,2023-08-27 00:00:00,NFCDSF-PH-KFP3ZJ8EU0AL1PNM1VJ2WLKK7YKKM5,Yes
Windows App - Cadmium,2023-08-05 00:00:00,NFUWA-001-C51B0FA5B8BFAD6BC5CFF815CB8281016478B8832A3A23914F1B070CE2B6EF6E,Yes
Windows App - Cadmium,2023-08-24 00:00:00,NFUWA-001-EC8DB1CC689FD43AE81C33948A57C9D338696621EAF67F67A03CC2E7A6F6207D,Yes
